Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.54701E+12,09/01/2019 4:00,ZECUSD,60.82,61.65,59.1,60.22,2628.462144
1.54692E+12,08/01/2019 4:00,ZECUSD,59.63,62.09,58.82,60.82,8532.722004
1.54683E+12,07/01/2019 4:00,ZECUSD,60.98,61.19,59.26,59.63,2237.434275
1.54675E+12,06/01/2019 4:00,ZECUSD,57.6,62.8,56,60.98,7687.367309
1.54666E+12,05/01/2019 4:00,ZECUSD,59.11,59.86,56.32,57.6,2025.346901
1.54657E+12,04/01/2019 4:00,ZECUSD,57.54,59.52,57.54,59.11,79.319834
1.54649E+12,03/01/2019 4:00,ZECUSD,59.81,60.21,56.65,57.54,2443.3045
1.5464E+12,02/01/2019 4:00,ZECUSD,57.79,61.82,57.22,59.81,3194.633136
1.54632E+12,01/01/2019 4:00,ZECUSD,54.8,59.5,54.06,57.79,10520.04252
1.54623E+12,31/12/2018 4:00,ZECUSD,58.22,58.67,53.53,54.8,8053.553404
1.54614E+12,30/12/2018 4:00,ZECUSD,59,60.73,57.75,58.22,2293.080556
1.54606E+12,29/12/2018 4:00,ZECUSD,62,63.06,58,59,2645.452231
1.54597E+12,28/12/2018 4:00,ZECUSD,55.18,63.1,54.74,62,8010.344304
1.54588E+12,27/12/2018 4:00,ZECUSD,59.52,59.63,54.64,55.18,2500.079908
1.5458E+12,26/12/2018 4:00,ZECUSD,61.89,62.27,57.87,59.52,1727.935352
1.54571E+12,25/12/2018 4:00,ZECUSD,60.47,62.44,58.85,61.89,2783.73348
1.54562E+12,24/12/2018 4:00,ZECUSD,68.45,71.4,59.85,60.47,3606.053987
1.54554E+12,23/12/2018 4:00,ZECUSD,65.55,68.88,63.08,68.45,2685.479557
1.54545E+12,22/12/2018 4:00,ZECUSD,60.18,65.55,59.16,65.55,2010.999593
1.54536E+12,21/12/2018 4:00,ZECUSD,62.21,65.34,59.13,60.18,3362.719168
1.54528E+12,20/12/2018 4:00,ZECUSD,56.84,65.78,56.04,62.21,8190.821686
1.54519E+12,19/12/2018 4:00,ZECUSD,59.25,61.41,55.56,56.84,5206.588258
1.54511E+12,18/12/2018 4:00,ZECUSD,55.72,59.95,53.39,59.25,5090.56627
1.54502E+12,17/12/2018 4:00,ZECUSD,50.85,57.03,50.52,55.72,6646.190985
1.54493E+12,16/12/2018 4:00,ZECUSD,50.96,52.6,49.52,50.85,3320.121629
1.54485E+12,15/12/2018 4:00,ZECUSD,48.64,51.2,47.65,50.96,1690.733194
1.54476E+12,14/12/2018 4:00,ZECUSD,50.64,51.06,47.74,48.64,5969.256129
1.54467E+12,13/12/2018 4:00,ZECUSD,53.4,53.54,49.57,50.64,10040.07077
1.54459E+12,12/12/2018 4:00,ZECUSD,52.98,56.93,52.75,53.4,7656.25693
1.5445E+12,11/12/2018 4:00,ZECUSD,54.92,55.5,51.77,52.98,5705.365708
1.54441E+12,10/12/2018 4:00,ZECUSD,59.17,59.17,54.03,54.92,3891.74049
1.54433E+12,09/12/2018 4:00,ZECUSD,56.45,60.22,56.45,59.17,1068.622346
1.54424E+12,08/12/2018 4:00,ZECUSD,53.13,59.1,52.73,56.45,4999.744669
1.54416E+12,07/12/2018 4:00,ZECUSD,53.13,53.13,53.13,53.13,0
1.54407E+12,06/12/2018 4:00,ZECUSD,64.87,67.72,52.51,53.13,30013.42577
1.54398E+12,05/12/2018 4:00,ZECUSD,72.4,73.24,64.4,64.87,20285.44856
1.5439E+12,04/12/2018 4:00,ZECUSD,70.05,78,68.53,72.4,5789.026134
1.54381E+12,03/12/2018 4:00,ZECUSD,76.76,77.32,67.88,70.05,6875.574365
